,http2,http3
0,0.03377,0.121523
1,0.045685,0.079749
2,0.044007,0.052822
3,0.093966,0.049183
4,0.064614,0.061683
5,0.038988,0.047853
6,0.031559,0.05764
7,0.047737,0.037549
8,0.052278,0.056228
9,0.061826,0.0382
10,0.039944,0.047921
11,0.043165,0.050393
12,0.037386,0.042149
13,0.047003,0.055453
14,0.048716,0.046335
15,0.056842,0.040087
16,0.042761,0.043705
17,0.037,0.039637
18,0.034844,0.038651
19,0.043136,0.14752
20,0.05962,0.039538
21,0.032347,0.038422
22,0.047071,0.035251
23,0.043881,0.034903
24,0.043429,0.066427
25,0.051557,0.038012
26,0.062938,0.038632
27,0.032813,0.033924
28,0.062048,0.034411
29,0.087584,0.045896
30,0.061592,0.066268
31,0.04464,0.037124
32,0.032264,0.046693
33,0.034381,0.089919
34,0.034856,0.194332
35,0.034888,0.049638
36,0.037726,0.078873
37,0.033576,0.096617
38,0.033688,0.050278
39,0.062604,0.05027
40,0.041908,0.036371
41,0.078928,0.032568
42,0.031947,0.044797
43,0.062402,0.034713
44,0.042515,0.065602
45,0.037432,0.044304
46,0.047824,0.070578
47,0.034295,0.08675
48,0.053017,0.073068
49,0.060464,0.069488
50,0.036121,0.048868
51,0.073315,0.048261
52,0.035065,0.045669
53,0.059185,0.040087
54,0.045855,0.050305
55,0.047119,0.039796
56,0.034149,0.046522
57,0.033553,0.047917
58,0.040133,0.037293
59,0.055081,0.046038
60,0.044345,0.075418
61,0.0326,0.041385
62,0.048424,0.040845
63,0.043333,0.063169
64,0.040559,0.042663
65,0.03112,0.043773
66,0.04617,0.048282
67,0.032704,0.055561
68,0.031316,0.034858
69,0.054882,0.046088
70,0.036219,0.058987
71,0.033041,0.038376
72,0.052248,0.03603
73,0.033015,0.034817
74,0.050526,0.073373
75,0.067365,0.067187
76,0.059174,0.053114
77,0.04873,0.049982
78,0.048829,0.037662
79,0.054976,0.032961
80,0.044465,0.061171
81,0.071783,0.11634
82,0.043709,0.070535
83,0.045368,0.075175
84,0.033268,0.034877
85,0.036854,0.052269
86,0.048897,0.071218
87,0.033284,0.121742
88,0.051511,0.03814
89,0.033812,0.049653
90,0.038546,0.033319
91,0.047856,0.056335
92,0.039723,0.039502
93,0.038588,0.037337
94,0.0443,0.06828
95,0.051655,0.044701
96,0.038971,0.051413
97,0.047515,0.046616
98,0.055315,0.058758
99,0.040941,0.04275
100,0.033339,0.050852
101,0.050714,0.047021
102,0.047721,0.045264
103,0.045609,0.035694
104,0.037964,0.046941
105,0.298211,0.03548
106,0.094778,0.102412
107,0.032937,0.039583
108,0.032081,0.035706
109,0.050499,0.038241
110,0.043494,0.041907
111,0.036687,0.046223
112,0.044329,0.05002
113,0.041867,0.044649
114,0.099851,0.041206
115,0.047063,0.045729
116,0.051086,0.047275
117,0.070241,0.047807
118,0.046489,0.044266
119,0.032059,0.056474
120,0.051502,0.042872
121,0.03245,0.074101
122,0.040905,0.267708
123,0.040389,0.03872
124,0.033551,0.040896
125,0.042047,0.042536
126,0.091211,0.038228
127,0.037949,0.040442
128,0.033629,0.055165
129,0.045276,0.055123
130,0.033181,0.032543
131,0.094737,0.036124
132,0.033242,0.039105
133,0.032961,0.036972
134,0.074405,0.054034
135,0.032433,0.042791
136,0.040013,0.032332
137,0.067887,0.049271
138,0.044713,0.106628
139,0.043504,0.068459
140,0.038754,0.048677
141,0.037827,0.056745
142,0.036095,0.035908
143,0.054461,0.06155
144,0.050866,0.033489
145,0.041176,0.048453
146,0.037816,0.058921
147,0.126412,0.045518
148,0.044978,0.076527
149,0.379198,0.038898
150,0.042179,0.037104
151,0.045982,0.059229
152,0.04764,0.040218
153,0.036338,0.053157
154,0.077338,0.042091
155,0.049128,0.035561
156,0.044625,0.079706
157,0.038899,0.053607
158,0.057678,0.035375
159,0.032923,0.066291
160,0.048521,0.054683
161,0.039336,0.049085
162,0.041531,0.062924
163,0.04038,0.068935
164,0.048024,0.054539
165,0.035065,0.038717
166,0.049357,0.045417
167,0.035541,0.059665
168,0.032643,0.061174
169,0.04609,0.067536
170,0.035684,0.033506
171,0.045329,0.068906
172,0.045058,0.043421
173,0.033529,0.066497
174,0.040104,0.05152
175,0.034868,0.039057
176,0.045341,0.057953
177,0.033065,0.03566
178,0.044772,0.040395
179,0.035024,0.036521
180,0.03358,0.038858
181,0.040236,0.042761
182,0.032336,0.038635
183,0.035869,0.04508
184,0.048416,0.051243
185,0.041069,0.034992
186,0.057646,0.050881
187,0.058553,0.04505
188,0.047149,0.049861
