,http2,http3
0,0.076716,0.241767
1,0.114646,0.048701
2,0.069958,0.080698
3,0.041583,0.088344
4,0.08676,0.100883
5,0.107602,0.086077
6,0.130296,0.069129
7,0.090161,0.090988
8,0.112047,0.078769
9,0.062392,0.122367
10,0.057069,0.074644
11,0.090268,0.07649
12,0.08488,0.059777
13,1.159869,0.08285
14,0.093128,0.064984
15,0.105256,0.075108
16,0.072057,0.038123
17,0.048552,1.24872
18,0.081323,0.098255
19,0.077596,0.077455
20,0.092689,0.053379
21,0.071338,0.054062
22,5.098066,0.099981
23,0.043513,0.124789
24,0.051528,0.074931
25,0.050789,0.040177
26,0.049567,0.056516
27,0.049997,0.054197
28,0.044034,0.079226
29,0.052873,0.058147
30,0.051349,0.041372
31,0.084103,0.120388
32,0.040577,0.039615
33,0.081258,0.09461
34,0.080646,0.06794
35,0.04822,0.062705
36,0.066547,0.042249
37,0.087101,0.089568
38,0.043051,0.065151
39,0.060854,0.054123
40,0.075444,0.107119
41,0.033016,0.093288
42,0.096131,0.082365
43,0.037823,0.08254
44,0.061027,0.075874
45,0.15554,0.055514
46,0.07091,0.075479
47,0.042842,0.05184
48,0.079587,0.054384
49,0.050748,0.113854
50,0.065254,0.051635
51,0.054169,0.060534
52,0.102676,0.041962
53,0.050789,0.115714
54,0.037509,0.044006
55,0.043154,0.09217
56,0.054319,0.062361
57,0.058599,0.060098
58,0.048431,0.044612
59,0.084921,0.062542
60,0.048173,0.077565
61,0.112984,0.078302
62,0.058316,0.106876
63,0.120933,5.1662
64,0.047312,0.099064
65,0.123076,0.08402
66,0.050465,0.055788
67,0.077904,0.055195
68,0.08952,0.134745
69,0.049023,0.058471
70,0.04611,5.069347
71,0.063189,0.069473
72,0.040024,0.059701
73,0.051384,0.037637
74,0.094735,0.05145
75,0.049427,0.059413
76,0.094205,0.058605
77,0.074931,0.058934
78,0.05616,0.060898
79,0.084151,0.048821
80,0.052849,0.061025
81,0.059779,0.10076
82,0.035873,0.064721
83,0.070792,0.061752
84,0.04514,0.042626
85,0.034998,0.04642
86,0.061663,0.077139
