,http2,http3
0,0.111987,0.119412
1,0.123681,0.17172
2,0.095451,0.112082
3,0.166944,0.12968
4,0.098852,0.109325
5,0.111733,0.104138
6,0.152805,0.096221
7,0.112291,0.12268
8,0.104698,0.116068
9,0.096456,0.118396
10,0.098161,0.083813
11,0.267659,0.108401
12,0.108728,0.10207
13,0.122425,0.090124
14,0.102626,0.144834
15,0.10598,0.093632
16,0.08257,0.102602
17,0.092471,0.135629
18,0.097198,0.076884
19,0.122288,0.117956
20,0.141177,0.100587
21,0.102898,0.110872
22,0.085678,0.109757
23,0.111892,0.101646
24,0.095325,0.101122
25,0.091791,0.088985
26,0.099705,0.120473
27,0.126994,0.091931
28,0.095975,0.10686
29,0.104637,0.103894
30,0.115257,0.10476
31,0.105454,0.098351
32,0.100591,0.097619
33,0.118076,0.14484
34,0.116232,0.1218
35,0.093584,0.157501
36,0.107448,0.09865
37,0.104009,0.273639
38,0.091083,0.126406
39,0.128864,0.102722
40,0.120964,0.097588
41,0.094936,0.116698
42,0.143072,0.098444
43,0.097263,0.185586
44,0.100483,0.114303
45,0.122901,0.123489
46,0.087428,0.085951
47,0.126787,0.103751
48,0.116827,0.084309
49,0.119514,0.09194
50,0.183083,0.108802
51,0.105403,0.139786
52,0.512411,0.104528
53,0.113747,0.10729
54,0.100855,0.088324
55,0.127112,0.099436
56,0.15667,0.116219
57,0.130435,0.106353
58,0.118339,0.114337
59,0.123545,0.105384
60,0.114264,0.104247
61,0.096358,0.091462
62,0.113423,0.092273
63,0.094919,0.097959
64,0.118674,0.090365
65,0.126357,0.0815
66,0.127156,0.096169
67,0.096536,0.097048
68,0.108106,0.09568
69,0.126829,0.100692
70,0.093656,0.118404
71,0.093837,0.091991
72,0.100081,0.20307
73,0.103504,0.184035
74,0.108122,0.072043
75,0.095675,0.328038
76,0.099653,0.08046
77,0.095822,0.09628
78,0.152106,0.080115
79,0.1002,0.111095
80,0.174044,0.083942
81,0.087787,0.108056
82,0.14387,0.131897
83,0.104843,0.092212
84,0.10238,0.114628
85,0.111111,0.100047
86,0.135736,0.121973
87,0.106464,0.074174
88,0.085227,0.086642
89,0.129954,0.126756
90,0.087595,0.106039
91,0.126901,0.122197
92,0.101357,0.107036
93,0.105629,0.107285
94,0.081745,0.143897
95,0.096668,0.107125
96,0.109563,0.105672
97,0.094149,0.081535
98,0.102472,0.118373
99,0.108098,0.09011
100,0.145993,0.096679
101,0.116612,0.104455
102,0.106758,0.100041
103,0.102175,0.124189
104,0.102896,0.115426
105,0.112021,0.109276
106,0.102719,0.101473
107,0.122583,0.116504
108,0.140659,0.103459
109,0.103302,0.102839
110,0.11259,0.087673
111,0.088388,0.073342
112,0.110124,0.086547
113,0.116327,0.10943
114,0.092213,0.10848
115,0.094549,0.093169
116,0.080577,0.079293
117,0.112446,0.108204
118,0.097972,0.102879
119,0.077161,0.10725
120,0.10997,0.10201
121,0.107156,0.103172
122,0.110681,0.089584
123,0.09525,0.097166
124,0.094152,0.09954
125,0.139316,0.278036
126,0.11549,0.083059
127,0.090071,0.091441
128,0.091727,0.090035
129,0.093082,0.271448
130,0.104265,0.102067
131,0.101035,0.117165
132,0.107406,0.083715
133,0.122693,0.091378
134,0.111094,0.092382
135,0.105765,0.095321
136,0.100792,0.118382
137,0.09505,0.129218
138,0.102985,0.127927
139,0.111508,0.131274
140,0.081916,0.1153
141,0.088441,0.111462
142,0.112647,0.124707
143,0.084624,0.098867
144,0.103636,0.095075
145,0.166513,0.101433
146,0.122443,0.09207
147,0.14021,0.102981
148,0.097627,0.086357
149,0.130704,0.118803
150,0.093405,0.113427
151,0.255767,0.117767
152,0.100764,0.118575
153,0.080635,0.094013
154,0.114485,0.133725
